"10","Ingénieur Senior Performance & Consommation (H/F) | Casablanca (Maroc)","Le Groupe STELLANTIS conçoit des expériences automobiles uniques et apporte des solutions de mobilité en offrant à chacun...","Au sein de l’équipe Emission Performance Consommation & Aérodynamique (EPCA), la mission de l’Ingénieur Performance &..."," du 03/06/2022 au 03/08/2022","Automobile / Motos / Cycles","Gestion projet / Etudes / R&D","De 3 à 5 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-senior-performance-consommation-hf-recrutement-stellantis-casablanca-138547.html","2022-06-03 00:00:00"
"11","Responsable Construction Modèles de Calculs (H/F) | Casablanca (Maroc)","Le Groupe STELLANTIS conçoit des expériences automobiles uniques et apporte des solutions de mobilité en offrant à chacun...","Dans le cadre des projets véhicule, l'ingénieur Calcul Mécanique RCM pilote les phases d'évaluations numériques ...."," du 03/06/2022 au 03/08/2022","Automobile / Motos / Cycles","Gestion projet / Etudes / R&D","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-responsable-construction-modeles-de-calculs-hf-recrutement-stellantis-casablanca-138546.html","2022-06-03 00:00:00"
"12","Part Designer (H/F) | Casablanca (Maroc)","Le Groupe STELLANTIS conçoit des expériences automobiles uniques et apporte des solutions de mobilité en offrant à chacun...","Au sein du Africa Technical Center et dans le cadre du développement des groupes motopropulseurs (moteur et boite de vitesse) et de leur adaptation au..."," du 03/06/2022 au 03/08/2022","Automobile / Motos / Cycles","Gestion projet / Etudes / R&D","De 3 à 5 ans                                            ","Bac +3                                            ","CDI","https://www.rekrute.com/offre-emploi-part-designer-hf-recrutement-stellantis-casablanca-138545.html","2022-06-03 00:00:00"
"13","Ingénieur contrôle commande systèmes électriques ( H/F) | Casablanca (Maroc)","Le Groupe STELLANTIS conçoit des expériences automobiles uniques et apporte des solutions de mobilité en offrant à chacun...","Vous serez en charge de : Analyse/Synthèse des besoins de contrôle de la coordination des systèmes électriques..."," du 03/06/2022 au 03/08/2022","Automobile / Motos / Cycles","Gestion projet / Etudes / R&D","De 3 à 5 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-controle-commande-systemes-electriques-hf-recrutement-stellantis-casablanca-138544.html","2022-06-03 00:00:00"
"14","Expert Technique .Net/Angular (H/F) | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","En tant qu'Expert Technique, vous aurez comme principales missions :Conception et AnalyseEstimation des charges de développements et de..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-.netangular-hf-recrutement-sqli-maroc-rabat-138543.html","2022-06-03 00:00:00"
"15","Ingénieur Concepteur Développeur JAVASCRIPT/REACTJS | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence Javascript, SQLI ISC Rabat recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-javascriptreactjs-recrutement-sqli-maroc-rabat-135815.html","2022-06-03 00:00:00"
"16","Expert Technique Front End (H/F) | Casablanca (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son équipe Front-End, SQLI ISC Casablanca recherche des personnes passionnées par le web.Le savoir-être..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-front-end-hf-recrutement-sqli-maroc-casablanca-135819.html","2022-06-03 00:00:00"
"17","Expert Technique Front End (H/F) | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son équipe Front-End, SQLI ISC Maroc recherche des personnes passionnées par le web.Le savoir-être est..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-front-end-hf-recrutement-sqli-maroc-rabat-138542.html","2022-06-03 00:00:00"
"18","Ingénieur Concepteur Développeur .Net (H/F) | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","En tant qu’ingénieur concepteur développeur .NET, vous aurez à mettre en œuvre les activités..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-ingenieur-concepteur-developpeur-.net-hf-recrutement-sqli-maroc-rabat-138540.html","2022-06-03 00:00:00"
"19","Expert Technique Java JEE | Rabat (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","En tant qu'Expert Technique Java/JEE, vous aurez à mettre en œuvre les activités ci-après (liste non exhaustive ni..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-java-jee-recrutement-sqli-maroc-rabat-138539.html","2022-06-03 00:00:00"
"20","Expert Technique Java JEE | Casablanca (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","En tant qu'Expert Technique Java/JEE, vous aurez à mettre en œuvre les activités ci-après (liste non exhaustive ni..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 5 à 10 ans                                            ","Bac +5 et plus                                            ","CDI","https://www.rekrute.com/offre-emploi-expert-technique-java-jee-recrutement-sqli-maroc-casablanca-138538.html","2022-06-03 00:00:00"
"21","Concepteur Développeur Symfony (H/F) | Casablanca (Maroc)","SQLI Maroc:Notre mission depuis 30 ans ? Être présent au bon moment !?Notre expertise ? Accompagner nos clients à capter l’attention de...","Pour le développement de son centre de compétence PHP, SQLI ISC Rabat recherche des personnes passionnées par le web.Le..."," du 03/06/2022 au 03/08/2022","Informatique","Informatique / Electronique","De 3 à 5 ans                                            ","Bac +4                                            ","CDI","https://www.rekrute.com/offre-emploi-concepteur-developpeur-symfony-hf-recrutement-sqli-maroc-casablanca-138536.html","2022-06-03 00:00:00"
